Soru	Şık A	Şık B	Şık C	Şık D	Şık E	Doğru Cevap
Edebiyatımızdaki ilk gazete makalesini kim yayınlamıştır?	Namık Kemal	Agâh Efendi	İbrahim Şinasi	Ziya Paşa	Ahmet Midhat Efendi	İbrahim Şinasi
Aşağıdakilerden hangisi "Tartışmacı Anlatım" özelliklerinden değildir?	Betimlemelere yer verilmesi gerekir.	İhtimal bildirmeyen, kesin, kanıtlanmış bilgiler kullanılır.	İki farklı bakış açısının olduğu konular bu türde işlenmeye daha elverişlidir.	Savunulan ve karşı çıkılan görüşlere yer verilir.	Eleştirici bir bakış açısı vardır.	İhtimal bildirmeyen, kesin, kanıtlanmış bilgiler kullanılır.
Atilla Aydınlı, "Bilim, Teknoloji ve Türkçe" adlı makalesinde "ülkemizde son on beş yılda İngilizce öğreniminin çok artmasını" aşağıdaki nedenlerden hangisine bağlamaktadır?	Türkiye Cumhuriyeti'nin kuruluşundan itibaren Batı'ya dönük eğitim politikası izlenmesi	Bazı ülkelerin, kendi dillerini yayarak dünyaya egemen olmayı amaçlayan politikaları	İngilizcenin ülkemizde ve dünyada insanlara para ve üstün sosyal statü kazandırması	Yeni kavramlar için kelime türetmeye uygun olmayan Türkçenin, bilim dili olma yetersizliği	Bilim ve teknolojiyi daha iyi anlamak ve çağdaş medeniyet seviyesini yakalamak isteği	İngilizcenin ülkemizde ve dünyada insanlara para ve üstün sosyal statü kazandırması
Metroda görme engelli bir kişiyi anlatan paragraf aşağıdaki yazıların hangisinden alınmış olabilir?	Türkçenin Sırları, Nihat Sami Banarlı	Türkçe Katliamı, İlhan Bardakçı	Dört Dakika İçin Bile Olsa Okumak, Erkan Türkoğlu	Sözden Söze, Nurullah Ataç	İnşallah Kelimesi, Elif Şafak	Dört Dakika İçin Bile Olsa Okumak, Erkan Türkoğlu
Aşağıdakilerden hangisi makale türünün bir özelliği değildir?	Fikirler, kişisel görüşlerle savunulur.	Ciddi anlatımlı bir düşünce yazısıdır.	Kanıtlarla kesin yargılara ulaşılır.	Ele alınan konu, derinlemesine incelenir.	İleri sürülen düşünce, inandırıcı kılınmaya çalışılır.	Kanıtlarla kesin yargılara ulaşılır.
Ana dil ve yurt ilişkisini anlatan paragraf aşağıdaki hangi makaleden alınmış olabilir?	Türkçe Yazmak Türkçe Okumak, Prof. Dr. Ahmet Aykut	Türkçe Katliamı, İlhan Bardakçı	Türkçenin Sırları, Nihat Sami Banarlı	Türklerin Ana Yurdu Türkçedir, Prof. Dr. Günay Karaağaç	Bilim, Teknoloji ve Türkçe, Prof. Dr. Atilla Aydınlı	Türklerin Ana Yurdu Türkçedir, Prof. Dr. Günay Karaağaç
Günübirlik yazıyorum. Hep güncel olaylara değinirim... diyen bir yazar, hangi yazı türünü kullanmaktadır?	Röportaj	Makale	Fıkra	Deneme	Eleştiri	Fıkra
Fatih Altuğ'un "Lüzumsuz Adam"da Yalnızlığın Toplumsal Dolayımı" makalesinde II. Dünya Savaşı sonrası dönemde şehirleşme açısından yaşanan değişimlere değinmesinin nedeni aşağıdakilerden hangisi olabilir?	Lüzumsuz Adam Mansur Bey'in geçmişini sorgulamak	Sait Faik'in "Lüzumsuz Adam" hikâyesindeki tutarsızlıkları ortaya çıkarmak	Sait Faik'in "Lüzumsuz Adam" hikâyesindeki şehir-köy karşıtlığını değerlendirmek	Lüzumsuz Adam Mansur Bey'in psikolojik tahlilini yapmak	Sait Faik'in "Lüzumsuz Adam" hikâyesini tarihsel bağlamı içinde değerlendirmek	Sait Faik'in "Lüzumsuz Adam" hikâyesini tarihsel bağlamı içinde değerlendirmek
Mülakat'ın gelişip değişerek oluşturduğu tür aşağıdakilerden hangisidir?	Günce	Gezi yazısı	Deneme	Röportaj	Anı	Röportaj
Kitap sayısının artışını konu alan parçanın anlatımında aşağıdakilerden hangilerine başvurulmuştur?	Sayısal verilerden yaralanma – Karşılaştırma	Sayısal verilerden yararlanma – Tartışma	Açıklama – Betimleme	Öyküleme – Betimleme	Tanımlama – Sayısal verilerden yararlanma	Sayısal verilerden yararlanma – Tartışma
Kazdağı'nın yamacını anlatan parçanın anlatımı için aşağıdakilerden hangisi söylenemez?	İşitme duyusundan yararlanılmıştır.	Görsel ögelere yer verilmiştir.	Dokunma duyusundan yaralanılmıştır.	Betimlemeye başvurulmuştur.	Öyküleyici anlatım kullanılmıştır.	Görsel ögelere yer verilmiştir.
Konuşma havası içinde, senli benli yazılan, yazarın kişisel düşüncelerini ileri sürdüğü köşe yazılarına ne ad verilir?	Mülakat	Görüşme	Fıkra	Söyleşi	Deneme	Fıkra
Verilen makale parçasından "bence" ifadesi nedeniyle kaç numaralı cümle çıkarılmalıdır?	IV	III	V	II	I	IV
Güncel olayların belgelendirme ve kanıtlama gereği duyulmadan ele alındığı yazı türü aşağıdakilerden hangisidir?	Söyleşi	Deneme	Röportaj	Fıkra	Sohbet	Fıkra
Elif Şafak'ın "İnşallah Kelimesi" adlı fıkrasında, "telaffuz farklılığı"na değinilmesinin nedeni aşağıdakilerden hangisi olabilir?	İnşallah ve "maşallah" kelimelerinin her dilde doğru şekilde telaffuz edilmesi	İnşallah ve "maşallah" kelimelerinin Türkçeleşmiş olması	İnşallah ve "maşallah" kelimelerinin aslında Arapça olması	İnşallah ve "maşallah" kelimelerinin kültürel farklılıklara rağmen birleştirici olması	İnşallah ve "maşallah" kelimelerinin telaffuz farklılığı nedeniyle anlaşılamaması	İnşallah ve "maşallah" kelimelerinin kültürel farklılıklara rağmen birleştirici olması
Gazete ya da dergilerin belli köşelerinde yayımlanan, belgelendirme ve kanıtlama gereği duyulmadan günlük olayları inceleyen kısa yazılara ne ad verilir?	Eleştiri	Fıkra	Makale	Otobiyografi	Anı	Fıkra
Salvador Dali ve Pablo Picasso'yu karşılaştıran parçada düşünceyi geliştirme yollarından hangisine ağırlık verilmiştir?	Örneklendirme	Benzetme	Tanımlama	Karşılaştırma	Tanık gösterme	Karşılaştırma
